duration,start_station_name
1523,Embarcadero at Sansome
1620,Steuart at Market
1617,Steuart at Market
779,Steuart at Market
784,Steuart at Market
721,Steuart at Market
1600,Harry Bridges Plaza (Ferry Building)
3691,Steuart at Market
3793,Steuart at Market
3788,Steuart at Market
3626,Steuart at Market
805,Steuart at Market
769,Steuart at Market
1157,Steuart at Market
1159,Steuart at Market
903,Embarcadero at Sansome
873,Embarcadero at Sansome
478,Powell Street BART
52577,Howard at 2nd
52395,Howard at 2nd
52223,Howard at 2nd
42617,Howard at 2nd
52028,Howard at 2nd
662,Market at 4th
769,Embarcadero at Bryant
324,Harry Bridges Plaza (Ferry Building)
1056,Embarcadero at Sansome
712,Powell Street BART
1504,Embarcadero at Bryant
14747,Harry Bridges Plaza (Ferry Building)
14676,Harry Bridges Plaza (Ferry Building)
546,Market at 4th
876,Market at 4th
829,Market at 4th
426,Powell Street BART
620,Embarcadero at Bryant
2203,Steuart at Market
363,Howard at 2nd
17132,Market at 4th
1621,Harry Bridges Plaza (Ferry Building)
1018,Harry Bridges Plaza (Ferry Building)
1003,Harry Bridges Plaza (Ferry Building)
5114,Embarcadero at Bryant
5040,Embarcadero at Bryant
1975,Market at 4th
1931,Market at 4th
315,Market at 4th
1958,Powell Street BART
1974,Powell Street BART
1051,Embarcadero at Sansome
892,Embarcadero at Sansome
1034,Powell Street BART
1017,Powell Street BART
419,Embarcadero at Sansome
366,Embarcadero at Sansome
12310,Howard at 2nd
4743,Embarcadero at Sansome
4397,Market at 4th
4370,Market at 4th
820,Embarcadero at Bryant
1998,Harry Bridges Plaza (Ferry Building)
1126,Embarcadero at Bryant
2460,Embarcadero at Sansome
2446,Embarcadero at Sansome
2448,Embarcadero at Sansome
2441,Embarcadero at Sansome
8326,Harry Bridges Plaza (Ferry Building)
8341,Harry Bridges Plaza (Ferry Building)
265,Market at 4th
681,Embarcadero at Sansome
682,Harry Bridges Plaza (Ferry Building)
487,Howard at 2nd
612,Harry Bridges Plaza (Ferry Building)
615,Harry Bridges Plaza (Ferry Building)
530,Harry Bridges Plaza (Ferry Building)
584,Harry Bridges Plaza (Ferry Building)
713,Harry Bridges Plaza (Ferry Building)
678,Harry Bridges Plaza (Ferry Building)
1293,Embarcadero at Sansome
1256,Embarcadero at Sansome
428,Embarcadero at Sansome
425,Embarcadero at Sansome
404,Embarcadero at Sansome
371,Embarcadero at Sansome
3289,Mechanics Plaza (Market at Battery)
3279,Mechanics Plaza (Market at Battery)
7290,Mechanics Plaza (Market at Battery)
1376,Embarcadero at Sansome
1392,Embarcadero at Sansome
1958,Embarcadero at Bryant
1398,Embarcadero at Sansome
1298,Embarcadero at Sansome
1482,Steuart at Market
1473,Steuart at Market
786,Harry Bridges Plaza (Ferry Building)
820,Harry Bridges Plaza (Ferry Building)
787,Harry Bridges Plaza (Ferry Building)
779,Harry Bridges Plaza (Ferry Building)
352,Embarcadero at Bryant
1153,Howard at 2nd
1129,Howard at 2nd
1106,Howard at 2nd
4691,Steuart at Market
4560,Steuart at Market
940,Embarcadero at Sansome
942,Embarcadero at Sansome
2887,Embarcadero at Sansome
2871,Embarcadero at Sansome
2868,Embarcadero at Sansome
2854,Embarcadero at Sansome
736,Powell Street BART
697,Powell Street BART
341,Embarcadero at Sansome
610,Mechanics Plaza (Market at Battery)
612,Mechanics Plaza (Market at Battery)
447,Mechanics Plaza (Market at Battery)
428,Mechanics Plaza (Market at Battery)
1331,Embarcadero at Bryant
1322,Embarcadero at Bryant
1224,Powell Street BART
1195,Powell Street BART
1011,Embarcadero at Sansome
7883,Harry Bridges Plaza (Ferry Building)
9243,Harry Bridges Plaza (Ferry Building)
1656,Embarcadero at Bryant
1610,Embarcadero at Bryant
1812,Harry Bridges Plaza (Ferry Building)
536,Harry Bridges Plaza (Ferry Building)
2391,Market at 4th
936,Market at 4th
886,Market at 4th
1484,Mechanics Plaza (Market at Battery)
2377,Harry Bridges Plaza (Ferry Building)
3446,Harry Bridges Plaza (Ferry Building)
1304,Mechanics Plaza (Market at Battery)
904,Embarcadero at Sansome
885,Embarcadero at Sansome
1127,Mechanics Plaza (Market at Battery)
976,Mechanics Plaza (Market at Battery)
783,Embarcadero at Sansome
785,Embarcadero at Sansome
296,Mechanics Plaza (Market at Battery)
697,Market at 4th
673,Market at 4th
768,Embarcadero at Sansome
492,Harry Bridges Plaza (Ferry Building)
1487,Embarcadero at Sansome
656,Embarcadero at Sansome
541,Steuart at Market
788,Harry Bridges Plaza (Ferry Building)
767,Harry Bridges Plaza (Ferry Building)
1352,Embarcadero at Sansome
1293,Embarcadero at Sansome
1286,Embarcadero at Sansome
1260,Embarcadero at Sansome
362,Powell Street BART
795,Market at 4th
784,Market at 4th
785,Powell Street BART
732,Powell Street BART
1092,Embarcadero at Sansome
937,Embarcadero at Sansome
910,Embarcadero at Sansome
563,Harry Bridges Plaza (Ferry Building)
527,Harry Bridges Plaza (Ferry Building)
1307,Embarcadero at Bryant
465,Harry Bridges Plaza (Ferry Building)
440,Harry Bridges Plaza (Ferry Building)
444,Steuart at Market
432,Steuart at Market
479,Market at 4th
426,Market at 4th
