,duration,start_station_name
100563,435,San Francisco City Hall
100564,432,San Francisco City Hall
100565,1523,Embarcadero at Sansome
100566,1620,Steuart at Market
100567,1617,Steuart at Market
100568,779,Steuart at Market
100569,784,Steuart at Market
100570,721,Steuart at Market
100571,624,5th at Howard
100572,574,5th at Howard
100573,1600,Harry Bridges Plaza (Ferry Building)
100574,3691,Steuart at Market
100575,3793,Steuart at Market
100576,3788,Steuart at Market
100577,3626,Steuart at Market
100578,805,Steuart at Market
100579,769,Steuart at Market
100580,1157,Steuart at Market
100581,1159,Steuart at Market
100582,477,Beale at Market
100583,966,Embarcadero at Folsom
100584,1211,Beale at Market
100585,795,Embarcadero at Folsom
100586,1024,Beale at Market
100587,901,2nd at South Park
100588,881,2nd at South Park
100589,794,2nd at South Park
100590,733,2nd at South Park
100592,903,Embarcadero at Sansome
100593,873,Embarcadero at Sansome
100594,478,Powell Street BART
100595,307,Beale at Market
100596,52577,Howard at 2nd
100597,52395,Howard at 2nd
100598,52223,Howard at 2nd
100599,497,2nd at Townsend
100600,42617,Howard at 2nd
100601,52028,Howard at 2nd
100602,967,South Van Ness at Market
100603,981,San Francisco City Hall
100604,3723,2nd at Folsom
100605,662,Market at 4th
100606,1352,Market at 10th
100607,5987,Market at Sansome
100608,5974,Market at Sansome
100609,1130,Market at 10th
100610,769,Embarcadero at Bryant
100611,661,Market at 10th
100612,324,Harry Bridges Plaza (Ferry Building)
100613,1056,Embarcadero at Sansome
100614,712,Powell Street BART
100615,1504,Embarcadero at Bryant
100616,264,Temporary Transbay Terminal (Howard at Beale)
100617,1026,Civic Center BART (7th at Market)
100618,1423,San Francisco Caltrain 2 (330 Townsend)
100619,14747,Harry Bridges Plaza (Ferry Building)
100620,14676,Harry Bridges Plaza (Ferry Building)
100621,737,San Francisco Caltrain 2 (330 Townsend)
100622,755,San Francisco Caltrain 2 (330 Townsend)
100623,546,Market at 4th
100624,876,Market at 4th
100625,829,Market at 4th
100626,250,Market at Sansome
100627,426,Powell Street BART
100628,620,Embarcadero at Bryant
100629,1574,San Francisco Caltrain 2 (330 Townsend)
100630,788,Grant Avenue at Columbus Avenue
100631,1702,San Francisco City Hall
100632,2203,Steuart at Market
100633,1843,San Francisco City Hall
100634,437,Grant Avenue at Columbus Avenue
100635,363,Howard at 2nd
100636,17132,Market at 4th
100637,1621,Harry Bridges Plaza (Ferry Building)
100640,307,2nd at Townsend
100641,824,Grant Avenue at Columbus Avenue
100642,765,Grant Avenue at Columbus Avenue
